"Brand","SKU","Product Name","Stock Level","BC ID","In UHP Feed?"
"Earthwise","UN - EWS36","Earthwise Laundry Powder Fragrance Free 4kg","0","53663","NO"
"Earthwise","UN - EWS37","Earthwise Laundry Powder Orange & Eucalyptus 4kg","0","53665","NO"
"Earthwise","UN - EWS46","Earthwise Laundry Liquid Fragrance Free 4L","0","53667","NO"
"Earthwise","UN - EWS47","Earthwise Laundry Liquid Orange & Eucalyptus 4L","0","53669","NO"
"Earthwise","UN - EWS48","Earthwise Laundry Capsules Orange & Eucalyptus x16","0","53671","NO"
"Earthwise","UN - EWS54","Earthwise Fabric Softener Sensitive White Lily 1L","0","53673","NO"
"Botanika","UN - BT101","Botanika Blends Plant Protein Lemon Cheesecake 500g","0","23761","NO"
"Botanika","UN - BT102","Botanika Blends Plant Protein Lemon Cheesecake 1kg","0","23762","NO"
"Botanika","UN - BT112","Botanika Blends Vegan Protein Bars Lemon Cheesecake 12 x 40g","0","30112","NO"
"Botanika","UN - BT73","Botanika Blends Botanika Basics Activated Charcoal 300g","0","32686","NO"
"Botanika","UN - BT128","Botanika Blends Vegan Protein Custard Decadent Chocolate 120g","0","32666","NO"
"Botanika","UN - BT130","Botanika Blends Nice Cream Vanilla Bean Protein Ice Cream 120g","0","32668","NO"
"Botanika","UN - BT71","Botanika Blends Botanika Basics Organic Cacao Powder 300g","0","32684","NO"
"Botanika","UN - BT72","Botanika Blends Botanika Basics Organic Chia Seeds 300g","0","32685","NO"
"Botanika","UN - BT76","Botanika Blends Botanika Basics Organic Hemp Seeds 300g","0","32689","NO"
"Botanika","UN - BT77","Botanika Blends Botanika Basics Organic Maca Powder 300g","0","32690","NO"
"Botanika","UN - BT80","Botanika Blends Botanika Brekky Probiotic Porridge Apple Pie 1kg","0","32692","NO"
"Botanika","UN - BT82","Botanika Blends Botanika Brekky Probiotic Porridge Cacao Crunch 1kg","0","32693","NO"
"Botanika","UN - BT84","Botanika Blends Botanika Brekky Probiotic Porridge Vanilla Dream 1kg","0","32694","NO"
"Botanika","UN - BT92","Botanika Blends Botanika Basics Peanut Butter Powder 300g","0","32699","NO"
"Botanika","UN - BT144","Botanika Blends Bickie - Protein Cookie Ginger Crunch 12x60g","0","53351","NO"
"Botanika","UN - BT145","Botanika Blends Bickie - Protein Cookie Lemon Poppyseed 12x60g","0","53353","NO"
"Botanika","UN - BT146","Botanika Blends Bickie - Protein Cookie Choc Chip Peanut Butter & Jelly 12x60g","0","53355","NO"
"Botanika","UN - BT160","Botanika Blends Power Potion Pre-Workout Powder Cola 300g","0","53359","NO"
"Botanika","UN - BT161","Botanika Blends Power Potion Pre-Workout Powder Strawberry Kiwi 300g","0","53361","NO"
"Botanika","UN - BT17","Botanika Blends Plant Protein Fruity Cereal Mylk 500g","0","53362","NO"
"Botanika","UN - BT18","Botanika Blends Plant Protein Fruity Cereal Mylk 1kg","0","53363","NO"
"Botanika","UN - BT19","Botanika Blends Plant Protein PB&J (Peanut Butter & Jam) 500g","0","53364","NO"
"Botanika","UN - BT20","Botanika Blends Plant Protein PB&J (Peanut Butter & Jam) 1kg","0","53365","NO"
"Botanika","UN - BT110","Botanika Blends Vegan Protein Bars Apple Pie 12x40g","0","53366","NO"
"Botanika","UN - BT38","Botanika Blends Plant Protein Golden Chai Latte 12x40g","0","53369","NO"
"Botanika","UN - BT39","Botanika Blends Plant Protein Raspberry Coconut 12x40g","0","53371","NO"
"Botanika","UN - BT123","Botanika Blends Marvellous Mug Cakes Choc Chip Banana Bread 100g","0","53372","NO"
"Botanika","UN - BT124","Botanika Blends Marvellous Mug Cakes Luscious Lemon Cake 100g","0","53373","NO"
"Botanika","UN - BT70","Botanika Blends Basics Organic Acai Powder 300g","0","53374","NO"
"Botanika","UN - BT81","Botanika Blends Brekky Probiotic Porridge Cacao Crunch 12x60g","0","53378","NO"
"Botanika","UN - BT85","Botanika Blends Plant Protein Apple Pie 12x40g","0","53381","NO"
"Botanika","UN - BT28","Botanika Blends Plant Protein Caramelised Popcorn 1kg","0","62251","NO"
"Botanika","UN - BT46","Botanika Blends Plant Protein Spiced Pumpkin Pie 500g","0","62252","NO"
"Botanika","UN - BT47","Botanika Blends Plant Protein Spiced Pumpkin Pie 1kg","0","62253","NO"
"Summer","UN - SUM61","Summer Salt Body Dream Eye Mask Rose (Satin & Spandex)","0","34196","NO"
"Summer","UN - SUM70","Summer Salt Body Crystal Soap Amethyst Lavender 155g","0","34197","NO"
"Summer","UN - SUM72","Summer Salt Body Crystal Soap Rose Jasmine 155g","0","34199","NO"
"Summer","UN - SUM100","Summer Salt Body Dream Cream Mask Green 50ml","0","54565","NO"
"Summer","UN - SUM101","Summer Salt Body Dream Cream Mask Rose 50ml","0","54567","NO"
"Summer","UN - SUM102","Summer Salt Body Glitter Face Mask 50ml","0","54569","NO"
"Summer","UN - SUM103","Summer Salt Body Face Mask Charcoal Clay 120ml","0","54571","NO"
"Summer","UN - SUM104","Summer Salt Body Face Mask Chocolate Clay 120ml","0","54573","NO"
"Summer","UN - SUM105","Summer Salt Body Face Mask Green Clay 120ml","0","54575","NO"
"Summer","UN - SUM120","Summer Salt Body Vegan Collagen Eye Mask Sets Glitter x5","0","54579","NO"
"Summer","UN - SUM122","Summer Salt Body Vegan Collagen Lip Mask Sets Glitter x 5","0","54583","NO"
"Summer","UN - SUM123","Summer Salt Body Vegan Collagen Lip Mask Sets Gold x 5","0","54585","NO"
"Summer","UN - SUM42","Summer Salt Body Crystal Facial Roller Amethyst x1","0","54597","NO"
"Summer","UN - SUM71","Summer Salt Body Crystal Soap Aquamarine Lemongrass 150g","0","54611","NO"
"Summer","UN - SUM73","Summer Salt Body Crystal Soap Opal Coconut & Vanilla 150g","0","54612","NO"
"Summer","UN - SUM74","Summer Salt Body Crystal Soap Lapis Lazuli Jasmine & Lime 150g","0","54613","NO"
"Summer","UN - SUM132","Summer Salt Body Salt Scrub Coffee 350g","0","63729","NO"
"Summer","UN - SUM114","Summer Salt Body Glow Oil Bronzed Babe Cacao 30ml","0","63726","NO"
"Summer","UN - SUM130","Summer Salt Body Salt Scrub Coconut & Lime 350g","0","63727","NO"
"Summer","UN - SUM131","Summer Salt Body Salt Scrub Coconut 350g","0","63728","NO"
"Summer","UN - SUM138","Summer Salt Body Salt Scrub Pink Grapefruit 350g","0","63730","NO"
"Summer","UN - SUM139","Summer Salt Body Salt Scrub Sandalwood & Vanilla Bean 350g","0","63731","NO"
"Summer","UN - SUM150","Summer Salt Body Crystal Elixir Glass Water Bottle Amethyst 550ml","0","63732","NO"
"Summer","UN - SUM151","Summer Salt Body Crystal Elixir Glass Water Bottle Clear Quartz 550ml","0","63733","NO"
"Summer","UN - SUM62","Summer Salt Body Dream Eye Mask Gold (Satin + Spandex) ","0","63736","NO"
"Summer","UN - SUM83","Summer Salt Body Hydrate Me Facial Moisturiser 50ml","0","63740","NO"
"Summer","UN - SUM84","Summer Salt Body Purify Me Toning Mist 100ml","0","63741","NO"
"Summer","UN - SUM87","Summer Salt Body Vegan Collagen Serum 30ml","0","63744","NO"
"Summer","UN - SUM89","Summer Salt Body Soothe Me Milk Cleanser 200ml","0","63746","NO"
"Eclipse","UN - EE20","Eclipse Organics Organic Bircher Chunky Australian Muesli 500g","0","32803","NO"
"Eclipse","UN - EE21","Eclipse Organics Organic Muesli Probiotic Lumberjack 410g","0","32804","NO"
"Eclipse","UN - EE22","Eclipse Organics Organic Raw Muesli 40% Fruit and Nut 500g","0","32805","NO"
"Eclipse","UN - EE23","Eclipse Organics Organic Granola Turmeric Coconut Latte 450g","0","32806","NO"
"Eclipse","UN - EE30","Eclipse Organics Organic Muesli Coconut Rough with Berries 450g","0","32807","NO"
"Eclipse","UN - EE31","Eclipse Organics Organic Muesli Gluten Free Nutty Clusters 400g","0","32808","NO"
"Eclipse","UN - EE32","Eclipse Organics Organic Muesli Gluten Free Light and Crisp 380g","0","32809","NO"
"Eclipse","UN - EE33","Eclipse Organics Organic Muesli Maple, Apple & Cranberry 450g","0","32810","NO"
"Eclipse","UN - EE34","Eclipse Organics Organic Muesli Nut, Honey & Chia 450g","0","32811","NO"
"Eclipse","UN - EE35","Eclipse Organics Organic Muesli Verry Berry Crunch 410g","0","32812","NO"
"Eclipse","UN - EE37","Eclipse Organics Organic Paleo Muesli Fruit and Nut 450g","0","32813","NO"
"Eclipse","UN - EE38","Eclipse Organics Organic Paleo Muesli Hemp and Nut 425g","0","32814","NO"
"Eclipse","UN - EE39","Eclipse Organics Organic Paleo Clusters Manuka Macadamia 450g","0","32815","NO"
"Eclipse","UN - EE50","Eclipse Wholefoods Modern No Nut Granola Vanilla Maple Clusters 450g","0","34101","NO"
