SKU,Name,Brand,Price,Barcode,Stock,Category
UN - GV04,Giovanni Golden Wheat Deep Cleanse Shampoo 250ml,,22.95,716237010087,,
UN - GV06,Giovanni Smooth As Silk Shampoo 250ml,,22.95,716237180537,,
UN - GV08,Giovanni Tea Tree Triple Treat Shampoo 250ml,,22.95,716237130082,,
UN - GV31,Giovanni Root 66 Max Volume Shampoo 250ml,,23.95,716237181718,,
UN - GW01,Giovanni Wellness System Shampoo With Chinese Botanicals 250ml,,23.95,716237182876,,
UN - GV30,Giovanni Wicked Texture Hair Styling Pomade 57g,,26.95,716237181695,,
UN - GD21,Giovanni Power Powder Dry Shampoo 38g,,27.95,716237183965,,
UN - GO03,Clothes Pegs 20 Pegs By Go Bamboo,,8.95,609613821257,,
UN - GO04,Go Bamboo Cotton Buds 1 Packet,,10.95,609613834301,,
UN - YP05,Green Nutritionals Chlorella Tablets 500 Tablets,,76.32,9322837006439,,
UN - HP50,Green Nutritionals Spirulina Tablets 500 Tablets,,81.74,9322837006033,,
UN - GE54,Green Superfoods 250 Capsules By Green Nutritionals,,74.14,9322837006743,,
UN - GE22,Green Nutritionals Green Calcium 240 Capsules,,76.33,9322837006323,,
UN - YP02,Green Nutritionals Chlorella Tablets 200 Tablets,,35.95,9322837006422,,
UN - JS03,Just Jojoba Jojoba Oil 500ml,,104.95,9330882002528,,
UN - HP20,Green Nutritionals Spirulina Tablets 200 Tablets,,38.14,9322837006026,,
UN - GE52,Green Nutritionals Green Super Food Powder 450g,,87.22,9322837006729,,
UN - GE53,Green Nutritionals Green Superfoods Capsules 120 Capsules,,38.14,9322837006736,,
UN - HP45,Green Nutritionals Spirulina Powder 450g,,114.52,9322837006064,,
UN - YP13,Green Nutritionals Yaeyama Pacifica Chlorella 250g,,49.03,9322837006453,,
UN - HP22,Green Nutritionals Spirulina Powder 225g,,65.33,9322837006057,,
UN - GE51,Green Nutritionals Green Superfood Powder 120g,,27.2,9322837006712,,
UN - YP12,Green Nutritionals Chlorella Powder 120g,,29.38,9322837006446,,
UN - HP90,Green Nutritionals Spirulina Powder 100g,,32.67,9322837006170,,
UN - HA02,Hab Shifa Black Seed Oil 50ml,,20.95,9345616000008,,
UN - HA05,Hab Shifa Black Seed Capsules 60 Capsules,,36.95,9345616000053,,
UN - HA04,Hab Shifa Black Seed Oil 250ml,,54.95,9345616000022,,
UN - HA08,Hab Shifa Black Seed 200g,,13.95,9345616000015,,
UN - GM21,Harmony Soapworks Lavender Goat's Milk Soap 140g,,7.95,9343334000010,,
UN - GM22,Lime Goat's Milk Soap 140g By Harmony Soapworks,,7.95,9343334000027,,
UN - GM23,Exfoliation Goat's Milk Soap 140g By Harmony Soapworks,,7.95,9343334000034,,
UN - GM25,Rose Goat's Milk Soap 140g By Harmony Soapworks,,7.95,9343334000058,,
UN - JS04,Just Jojoba Jojoba Oil 30ml,,14.95,9330882003129,,
UN - GM26,Harmony Soapworks Tea Tree Goat's Milk Soap 140g,,7.95,9343334000065,,
