BC_SKU,BC_Name,BC_Price,Supplier,Supplier_SKU,Supplier_Name,Cost_Price,RRP,Stock,Match_Type,Reviewed
UN - ANW210,Antipodes Kiwi Seed Oil Lip Conditioner 4g,26,uhp,ANW210,Kiwi Seed Oil Lip Conditioner,13,26,,sku_prefix,FALSE
UN - ANW212,Antipodes Dusky Sound Pink Lipstick 4g,32,uhp,ANW212,Dusky Sound Pink Lipstick,16,32,,sku_prefix,FALSE
UN - ANW214,Antipodes Dragon Fruit Pink Lipstick 4g,32,uhp,ANW214,Dragon Fruit Pink Lipstick,16,32,,sku_prefix,FALSE
UN - ANW216,Antipodes Oriental Bay Plum Lipstick 4g,32,uhp,ANW216,Oriental Bay Plum Lipstick,16,32,,sku_prefix,FALSE
UN - ANW218,Antipodes Golden Bay Nectar Lipstick 4g,32,uhp,ANW218,Golden Bay Nectar Lipstick,16,32,,sku_prefix,FALSE
UN - ANW220,Antipodes Boom Rock Bronze Lipstick 4g,32,uhp,ANW220,Boom Rock Bronze Lipstick,16,32,,sku_prefix,FALSE
UN - ANW222,Antipodes Queenstown Hot Chocolate Lipstick 4g,32,uhp,ANW222,Queenstown Hot Chocolate Lipstick,16,32,,sku_prefix,FALSE
UN - ANW224,Antipodes South Pacific Coral Lipstick 4g,32,uhp,ANW224,South Pacific Coral Lipstick,16,32,,sku_prefix,FALSE
UN - ANW226,Antipodes West Coast Sunset Lipstick 4g,32,uhp,ANW226,West Coast Sunset Lipstick,16,32,,sku_prefix,FALSE
UN - ANW228,Antipodes Piha Beach Tangerine Lipstick 4g,32,uhp,ANW228,Piha Beach Tangerine Lipstick,16,32,,sku_prefix,FALSE
UN - ANW230,Antipodes Remarkably Red Lipstick 4g,32,uhp,ANW230,Remarkably Red Lipstick,16,32,,sku_prefix,FALSE
UN - ANW232,Antipodes Ruby Bay Rouge Lipstick 4g,32,uhp,ANW232,Ruby Bay Rouge Lipstick,16,32,,sku_prefix,FALSE
UN - ANW234,Antipodes Forest Berry Red Lipstick 4g,32,uhp,ANW234,Forest Berry Red Lipstick,16,32,,sku_prefix,FALSE
UN - YT74,Yogi Tea Honey Lavender Stress Relief 16 Bags,13.95,uhp,YT74,Herbal Tea Bags Honey Lavender Stress Relief,8.72,13.95,,sku_prefix,FALSE
