Supplier,Supplier_SKU,Name,Brand,Barcode,Cost_Price,RRP,Stock,Category
uhp,ANW224,South Pacific Coral Lipstick,Antipodes,9421903925619,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW226,West Coast Sunset Lipstick,Antipodes,9421903925978,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW226DATE,West Coast Sunset Lipstick,Antipodes,,16,32,,
uhp,ANW228,Piha Beach Tangerine Lipstick,Antipodes,9421903925626,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW230,Remarkably Red Lipstick,Antipodes,9421900569847,16,32,,"Body & Beauty, Christmas, Cyber Sale"
uhp,ANW232,Ruby Bay Rouge Lipstick,Antipodes,9421903925961,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW234,Forest Berry Red Lipstick,Antipodes,9421903925596,16,32,,"Body & Beauty, Cyber Sale"
uhp,YT74,Herbal Tea Bags Honey Lavender Stress Relief,Yogi Tea,076950204546,8.72,13.95,,"Natural Remedies, Pantry"
uhp,ANW30,Hallelujah Lime & Patchouli Nourishing Cleanser,Antipodes,9421900569007,23,46,,"Body & Beauty, Cyber Sale"
uhp,ANW32,Grapeseed Butter Cleanser,Antipodes,9421900569250,26.5,53,,"Body & Beauty, Cyber Sale"
uhp,ANW34,Reincarnation Pure Facial Polish & Exfoliator,Antipodes,9421900569052,23,46,,"Body & Beauty, Cyber Sale"
uhp,ANW36,Aura Manuka Honey Mask MINI,Antipodes,9421905119078,9,18,,Body & Beauty
uhp,ANW40,Halo Skin-Brightening Facial Mud Mask MINI,Antipodes,9421905119023,9,18,,Body & Beauty
uhp,ANW42,Halo Skin-Brightening Facial Mud Mask,Antipodes,9421906120004,25,50,,"Body & Beauty, Cyber Sale"
uhp,ANW44,Eve Bio-Retinol Line Reduction Serum,Antipodes,9421907387161,29.5,59,,"Body & Beauty, Cyber Sale"
uhp,ANW46,Divine Rosehip & Avocado Oil Face Oil MINI,Antipodes,9421903096821,9.5,19,,Body & Beauty
uhp,ANW50,Kiwi Seed Oil Eye Cream,Antipodes,94183986,34,68,,"Body & Beauty, Christmas, Cyber Sale"
uhp,ANW52,Vanilla Pod Hydrating Day Cream MINI,Antipodes,9421908105429,9,18,,Body & Beauty
uhp,ANW56,Rejoice Light Facial Day Cream,Antipodes,9421904521926,31,62,,"Body & Beauty, Cyber Sale"
uhp,ANW57,Lime Caviar Collagen-Rich Firming Cream MINI,Antipodes,9421908105375,9,18,,Body & Beauty
uhp,ANW58,Lime Caviar Collagen-Rich Firming Cream,Antipodes,9421907387024,31,62,,"Body & Beauty, Cyber Sale, Mother's Day"
uhp,ANW60,Avocado Pear Nourishing Night Cream MINI,Antipodes,9421903096883,9,18,,"Body & Beauty, Christmas"
uhp,ANW604,Baptise H2O Ultra-Hydrating Water Gel GWP,Antipodes,9421906730319,,,,
uhp,ANW606,,Antipodes,9421903925251,,,,
uhp,ANW609,Flora Probiotic Skin-Rescue Hyaluronic Mask GWP ,Antipodes,9421908105269,,,,
uhp,ANW62,Avocado Pear Collagen-Boosting Night Cream,Antipodes,9421900569014,35,70,,"Body & Beauty, Christmas, Cyber Sale"
uhp,ANW64,Nirvana Hand & Body Wash,Antipodes,9421900569946,21,42,,"Body & Beauty, Cyber Sale"
uhp,ANW715,Ceramide Souffle Fresh Hydration Cream SACHET,Antipodes,9421908105214,,,,
