BC Product ID,SKU,Name,Barcode,Reason
3998,"KAD - 6354","Lotus Yeast Flakes Savoury 200g","9317127063544","No UHP match found"
4209,"KAD - 78001","Ambrosia Honey Raw Organic 1kg","9327006000188","No UHP match found"
4000,"KAD - 423941","Lotus Psyllium Husks 98% 500g","9317127003717","No UHP match found"
4006,"GBN - CLIP119","Coffee Instant Everyday Rich Roast FT Organic 100g Clipper (Red)","5021991245572","No UHP match found"
4012,"KAD - 6092","Lotus LSA Meal 750g","9317127060925","No UHP match found"
4017,"KAD - 63912","Lotus Quinoa Flour Organic 500g","9317127639121","No UHP match found"
4281,"KAD - 88005","NaturTint Natural Hair Colour Hazelnut Blonde 7N 155ml","8429449100447","No UHP match found"
4021,"KAD - 869","Herbon Laundry Pre Wash Stain Remover 1kg","9313091104108","No UHP match found"
4038,"KAD - 414365","Muesli Bircher Organic (Jar) 525g Real Good Food","9326010000221","No UHP match found"
4039,"KAD - 414418","Muesli Berry Bircher Organic (Bag) 500g Real Good Food","9326010001129","No UHP match found"
4040,"KAD - 420951","Real Good Food High Protein Mix Berry Organic (Jar) 280g","9326010001143","No UHP match found"
4059,"KAD - 64041","Quinoa Grain White Organic 600g Lotus","9317127640417","No UHP match found"
4085,"KAD - 6082","Lotus Brewers Yeast 500g","9317127060826","No UHP match found"
4091,"KAD - 66744","Concord Grape Juice Organic 946ml Lakewood","042608432364","No UHP match found"
4094,"KAD - 870","Herbon Dishwashing Machine Powder 1kg","9313091101107","No UHP match found"
