id,from_path,target_type,target_destination,target_entity_id,category,site_id
7354,/root-66-shampoo-250-ml-by-giovanni/,product,Product ID: 1376,1376,standard-product,1000
7355,/natural-mousse-207ml-by-giovanni/,product,Product ID: 1355,1355,standard-product,1000
7356,/tea-tree-conditioner-250-ml-by-giovanni/,product,Product ID: 1366,1366,standard-product,1000
7357,/giovanni-2chic-shampoo-250ml/,product,Product ID: 8239,8239,standard-product,1000
7358,/giovanni-2chic-pineapple-ginger-anti-frizz-serum-81ml/,product,Product ID: 8245,8245,standard-product,1000
7359,/giovanni-2chic-conditioner-250ml/,product,Product ID: 8240,8240,standard-product,1000
7360,/giovanni-2chic-leave-in-conditioner-118ml/,product,Product ID: 8241,8241,standard-product,1000
7361,/2chic-hair-mask-147-ml-by-giovanni/,product,Product ID: 1345,1345,standard-product,1000
7365,/direct-conditioner-250-ml-by-giovanni/,product,Product ID: 1364,1364,standard-product,1000
7366,/2chic-ultra-moist-anti-frizz-serum-53ml-by-giovanni/,product,Product ID: 1326,1326,standard-product,1000
7368,/2chic-leave-in-elixir-118ml-by-giovanni/,product,Product ID: 1341,1341,standard-product,1000
7369,/shampoo-2chic-purple-250ml-by-giovanni/,product,Product ID: 7808,7808,standard-product,1000
7370,/2chic-mousse-207ml-by-giovanni/,product,Product ID: 6103,6103,standard-product,1000
7371,/smooth-as-silk-extreme-150ml-by-giovanni/,product,Product ID: 1347,1347,standard-product,1000
7372,/giovanni-2chic-leave-in-elixir-118ml-argan/,product,Product ID: 4900,4900,standard-product,1000
7375,/conditioner-2chic-purple-250ml-by-giovanni/,product,Product ID: 7809,7809,standard-product,1000
7376,/2chic-blow-out-118-ml-by-giovanni/,product,Product ID: 1342,1342,standard-product,1000
7377,/2chic-volumiser-53ml-by-giovanni/,product,Product ID: 6104,6104,standard-product,1000
7378,/2chic-shampoo-250ml-by-giovanni-argan/,product,Product ID: 6099,6099,standard-product,1000
7380,/2chic-flat-iron-118ml-by-giovanni/,product,Product ID: 1343,1343,standard-product,1000
7382,/leave-in-conditioner-2chic-purple-by-giovanni/,product,Product ID: 7810,7810,standard-product,1000
7384,/dry-shampoo-50g-by-giovanni/,product,Product ID: 1390,1390,standard-product,1000
7385,/2chic-conditioner-250ml-by-giovanni-argan/,product,Product ID: 6100,6100,standard-product,1000
7387,/2chic-protect-spray-118-ml-by-giovanni/,product,Product ID: 1344,1344,standard-product,1000
